"pr_lost";"pr_rem";"ave_pr_rem";"amphibians";"birds";"mammals";"reptiles";"LC";"NT";"VU";"EN";"CR";"endangered"
0.082;99.918;72.3424001292564;70.1832083000798;74.5604387967835;75.4024751546972;64.1977640959171;76.0489785018026;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.086;99.914;72.3423960899948;70.1832083000798;74.5604387967835;75.4024564035252;64.1977640959171;76.0489718253438;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.091;99.909;72.3423758936866;70.1832083000798;74.5604288692544;75.4023813988374;64.1977640959171;76.0489384430498;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.096;99.904;72.3423637759018;70.1832083000798;74.5604288692544;75.4023251453216;64.1977640959171;76.0489184136734;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.1;99.9;72.3423435795936;70.1832083000798;74.5604189417254;75.4022501406338;64.1977640959171;76.0488850313794;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.105;99.895;72.3423355010704;70.1832083000798;74.5604090141964;75.4022313894618;64.1977640959171;76.0488716784617;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.111;99.889;72.3423193440239;70.1832083000798;74.5604090141964;75.402156384774;64.1977640959171;76.0488449726265;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.117;99.883;72.3422991477158;70.1832083000798;74.5603990866673;75.4020813800863;64.1977640959171;76.0488115903325;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.123;99.877;72.3422789514077;70.1832083000798;74.5603891591383;75.4020063753985;64.1977640959171;76.0487782080385;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.129;99.871;72.3422587550996;70.1832083000798;74.5603792316092;75.4019313707107;64.1977640959171;76.0487448257444;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.136;99.864;72.3422264410066;70.1832083000798;74.5603693040802;75.401800112507;64.1977640959171;76.048691414074;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.143;99.857;72.3422062446985;70.1832083000798;74.5603593765512;75.4017251078192;64.1977640959171;76.04865803178;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.151;99.849;72.3421860483904;70.1832083000798;74.5603494490221;75.4016501031314;64.1977640959171;76.0486246494859;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.159;99.841;72.3421618128206;70.1832083000798;74.5603395214931;75.4015563472717;64.1977640959171;76.0485845907331;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.168;99.832;72.3421294987276;70.1832083000798;74.5603295939641;75.4014250890681;64.1977640959171;76.0485311790626;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.177;99.823;72.3421012238963;70.1832083000798;74.560309738906;75.4013313332083;64.1977640959171;76.048484443851;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.184;99.816;72.3420810275882;70.1832083000798;74.560299811377;75.4012563285205;64.1977640959171;76.0484510615569;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.192;99.808;72.3420487134952;70.1832083000798;74.5602898838479;75.4011250703169;64.1977640959171;76.0483976498865;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.201;99.799;72.3420244779254;70.1832083000798;74.5602799563189;75.4010313144572;64.1977640959171;76.0483575911337;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.209;99.791;72.3420042816173;70.1832083000798;74.5602700287898;75.4009563097694;64.1977640959171;76.0483242088396;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.218;99.782;72.3419719675243;70.1832083000798;74.5602601012608;75.4008250515657;64.1977640959171;76.0482707971692;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.227;99.773;72.341943692693;70.1832083000798;74.5602402462027;75.400731295706;64.1977640959171;76.0482240619575;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.236;99.764;72.3419113786;70.1832083000798;74.5602303186737;75.4006000375023;64.1977640959171;76.0481706502871;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.246;99.754;72.3418750252454;70.1832083000798;74.5602203911446;75.4004500281268;64.1977640959171;76.0481105621578;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.255;99.745;72.3418507896756;70.1832083000798;74.5602005360866;75.400375023439;64.1977640959171;76.048070503405;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.264;99.736;72.3418265541059;70.1832083000798;74.5601906085575;75.4002812675792;64.1977640959171;76.0480304446522;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.275;99.725;72.3417902007513;70.1832083000798;74.5601806810285;75.4001312582036;64.1977640959171;76.0479703565229;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.286;99.714;72.3417538473967;70.1832083000798;74.5601608259704;75.4;64.1977640959171;76.0479102683937;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.296;99.704;72.3417174940421;70.1832083000798;74.5601508984414;75.3998499906244;64.1977640959171;76.0478501802644;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.308;99.692;72.3416771014259;70.1832083000798;74.5601310433833;75.3996999812488;64.1977640959171;76.0477834156763;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.32;99.68;72.3416407480713;70.1832083000798;74.5601211158543;75.3995499718732;64.1977640959171;76.0477233275471;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.331;99.669;72.3416124732399;70.1832083000798;74.5601012607962;75.3994562160135;64.1977640959171;76.0476765923354;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.34;99.66;72.3415801591469;70.1832083000798;74.5600913332672;75.3993249578099;64.1977640959171;76.047623180665;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.351;99.649;72.3415397665307;70.1832083000798;74.5600714782091;75.3991749484343;64.1977640959171;76.0475564160769;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.362;99.638;72.3415155309609;70.1832083000798;74.56006155068;75.3990811925745;64.1977640959171;76.0475163573241;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.373;99.627;72.3414791776063;70.1832083000798;74.560041695622;75.3989499343709;64.1977640959171;76.0474562691948;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
0.386;99.614;72.3414387849901;70.1832083000798;74.5600317680929;75.3987811738234;64.1977640959171;76.0473895046068;72.4694335389792;69.4099904397706;65.8322616407982;53.1383367139959;64.8016181892667
