"pr_lost";"pr_rem";"ave_pr";"amphibians";"birds";"mammals";"reptiles";"LC";"NT";"VU";"EN";"CR"
0.10471;0.89529;0.748385143595751;0.725110774142059;0.761646977067408;0.762412713294581;0.728105962410888;0.767185338496461;0.743747055524397;0.739240439770555;0.706922394678492;0.649478701825558
0.10554;0.89446;0.748365189643333;0.725108699122107;0.761616896654423;0.762385336583536;0.728095593000648;0.767154493256777;0.743738081884464;0.739235659655832;0.706919068736142;0.649478701825558
0.10638;0.89362;0.748344952942602;0.725106464485235;0.761587114067309;0.762356647290456;0.728084575502268;0.767122913606623;0.743731912507011;0.739229923518164;0.706916297117517;0.649478701825558
0.10722;0.89278;0.748325604879428;0.725104868316041;0.761558324233098;0.762329270579411;0.728073882047959;0.767092936306583;0.74372406057207;0.739224665391969;0.706913525498891;0.649478701825558
0.10807;0.89193;0.748304317970675;0.725102474062251;0.761527945994242;0.762297393587099;0.728062216461439;0.767059687541728;0.743716208637128;0.739219407265774;0.706911308203991;0.649478701825558
0.10892;0.89108;0.748284404410874;0.725101037509976;0.761498560508289;0.762268516782299;0.728051198963059;0.767028909066631;0.743707795849691;0.739214149139579;0.706907982261641;0.649478701825558
0.10976;0.89024;0.748265500666478;0.725099441340782;0.761472054005758;0.76223907744234;0.728040181464679;0.767;0.743698261357263;0.73920793499044;0.706905210643015;0.649478701825558
0.11061;0.88939;0.748245748677142;0.725098324022346;0.761444058373871;0.762207762985187;0.728029488010369;0.766969421818667;0.743690970274818;0.739202676864245;0.70690133037694;0.649478701825558
0.11146;0.88854;0.748225794724724;0.725096568236233;0.761415665640822;0.762177011063191;0.72801879455606;0.766938910401923;0.743680874929893;0.73919741873805;0.706897450110865;0.649478701825558
0.11232;0.88768;0.748207254513875;0.725095929768555;0.761388662761839;0.76214850928183;0.72800874918989;0.766910468687408;0.743673583847448;0.739191682600382;0.706893015521064;0.649478701825558
0.11318;0.88682;0.748188068021166;0.725093375897845;0.761361064231113;0.762120382523908;0.72799870382372;0.766881225797837;0.743664610207515;0.739185946462715;0.706888026607539;0.649478701825558
0.11404;0.88596;0.74816884113584;0.725092577813248;0.761331976571031;0.762093755859741;0.7279870382372;0.766851916143677;0.74365731912507;0.739179254302103;0.706882483370288;0.649478701825558
0.11493;0.88507;0.748148079331098;0.725091460494812;0.761300704854562;0.762063378961185;0.7279773169151;0.76682013619976;0.743650028042625;0.739173518164436;0.706876385809313;0.649478701825558
0.11584;0.88416;0.748126267318334;0.72508954509178;0.761269234587511;0.762029439339959;0.727967595593001;0.766786753905728;0.743641615255188;0.73916586998088;0.706871396895787;0.649478701825558
0.11677;0.88323;0.748103041564002;0.725088108539505;0.761235282438201;0.761993249578099;0.727957550226831;0.766751235144879;0.743632641615255;0.739158699808795;0.706865299334812;0.649478701825558
0.1177;0.8823;0.748079290705659;0.725084916201117;0.76120113173831;0.761957997374836;0.727945884640311;0.766715249031913;0.743620863712844;0.739150095602294;0.706860310421286;0.649478701825558
0.11865;0.88135;0.748053722179586;0.725082841181165;0.761163704953837;0.761919932495781;0.727932922877511;0.766676592335425;0.743610768367919;0.739140057361377;0.70685421286031;0.649478701825558
0.1196;0.8804;0.748029446217231;0.725080766161213;0.761127270922267;0.761885430339396;0.727920933246922;0.766639404459874;0.743602916432978;0.739131453154876;0.706848115299335;0.649478701825558
0.12056;0.87944;0.748005210647494;0.725078371907422;0.761092921671796;0.761846427901744;0.727910887880752;0.766602950994792;0.743590577678071;0.739123326959847;0.706840354767184;0.649478701825558
0.12154;0.87846;0.747976168356424;0.725075179569034;0.761050233296932;0.761803112694543;0.727898574206092;0.766558953131259;0.743578799775659;0.739113288718929;0.706832039911308;0.649478701825558
0.12255;0.87745;0.747947812739831;0.725072625698324;0.761007644197359;0.761761485092818;0.727887232663642;0.766515422619842;0.743568143578239;0.739104684512428;0.706825388026608;0.649478701825558
0.12358;0.87642;0.747916871995799;0.725068635275339;0.760962573215527;0.761714419651228;0.727875567077123;0.766468553879023;0.74355468311834;0.739093690248566;0.706818181818182;0.649478701825558
0.12463;0.87537;0.747885284969907;0.725064644852354;0.760916013104338;0.761667354209638;0.727863577446533;0.766420683669382;0.743542344363432;0.739082217973231;0.706809312638581;0.649478701825558
0.12569;0.87431;0.747851557135356;0.725061292897047;0.76086429067805;0.761618226139134;0.727853532080363;0.766369608759514;0.743526079641054;0.739071701720841;0.706802106430155;0.649477687626775
0.12676;0.87324;0.74781637516662;0.725057302474062;0.760811178397697;0.761566847927995;0.727841542449773;0.766316597676592;0.743510936623668;0.739057839388145;0.706792682926829;0.649476673427992
0.12786;0.87214;0.747779658278467;0.725053631284916;0.760756080611536;0.761512094505907;0.727828904731043;0.7662611830685;0.743495232753786;0.739043977055449;0.706782150776053;0.649476673427992
0.12895;0.87105;0.747742214323222;0.72505011971269;0.7606996922466;0.761456028501781;0.727816591056384;0.766204833756176;0.743480089736399;0.739029158699809;0.706771064301552;0.649476673427992
0.13004;0.86996;0.747703679767339;0.725046129289705;0.760641020549985;0.761399962497656;0.727803953337654;0.766146214447857;0.743465507571509;0.739016252390057;0.706760532150776;0.649476673427992
0.13114;0.86886;0.747664539322212;0.725042298483639;0.760582051027499;0.7613407087943;0.727792611795204;0.766086994258245;0.743451486259114;0.739001434034417;0.706749445676275;0.649476673427992
0.13225;0.86775;0.747626085551561;0.725039265762171;0.760522783679142;0.761284455278455;0.727780946208684;0.766028374949927;0.743438025799215;0.738989961759082;0.706738359201774;0.649476673427992
0.13337;0.86663;0.747585854505796;0.725033998403831;0.760461927926139;0.761225576598537;0.727769280622165;0.765967485645614;0.743422882781828;0.738975143403442;0.706727272727273;0.649475659229209
